NoteOctave,Note,Instrument,Position
F4,F,StringInstrument,110
F1,F,StringInstrument,111
F2,F,StringInstrument,112
B4,B,StringInstrument,113
C5,C,StringInstrument,114
D5,D,StringInstrument,115
C5,C,StringInstrument,116
F4,F,StringInstrument,117
B4,B,StringInstrument,118
C5,C,StringInstrument,119
A4,A,StringInstrument,120
C5,C,StringInstrument,121
B4,B,StringInstrument,122
A4,A,StringInstrument,123
F4,F,StringInstrument,124
B4,B,StringInstrument,125
C5,C,StringInstrument,126
D5,D,StringInstrument,127
C5,C,StringInstrument,128
B4,B,StringInstrument,129
C5,C,StringInstrument,130
A4,A,StringInstrument,131
E4,E,StringInstrument,132
G4,G,StringInstrument,133
E4,E,StringInstrument,134
D4,D,StringInstrument,135
E3,E,StringInstrument,136
G4,G,StringInstrument,137
E3,E,StringInstrument,138
E4,E,StringInstrument,139
G4,G,StringInstrument,140
F4,F,StringInstrument,141
G3,G,StringInstrument,142
G2,G,StringInstrument,143
G4,G,StringInstrument,144
C3,C,StringInstrument,145
C2,C,StringInstrument,146
C4,C,StringInstrument,0
E4,E,StringInstrument,1
C3,C,StringInstrument,2
C2,C,StringInstrument,3
G4,G,StringInstrument,4
C4,C,StringInstrument,5
G4,G,StringInstrument,6
G3,G,StringInstrument,7
C4,C,StringInstrument,8
A3,A,StringInstrument,9
A4,A,StringInstrument,10
G4,G,StringInstrument,11
D3,D,StringInstrument,12
D2,D,StringInstrument,13
F4,F,StringInstrument,14
B3,B,StringInstrument,15
C4,C,StringInstrument,16
E4,E,StringInstrument,17
G4,G,StringInstrument,18
G4,G,StringInstrument,19
E4,E,StringInstrument,20
E4,E,StringInstrument,21
G3,G,StringInstrument,22
G2,G,StringInstrument,23
C4,C,StringInstrument,24
E4,E,StringInstrument,25
G4,G,StringInstrument,26
G4,G,StringInstrument,27
E4,E,StringInstrument,28
G3,G,StringInstrument,29
C4,C,StringInstrument,30
A4,A,StringInstrument,31
E3,E,StringInstrument,32
G4,G,StringInstrument,33
F3,F,StringInstrument,34
D3,D,StringInstrument,35
E4,E,StringInstrument,36
C4,C,StringInstrument,37
G3,G,StringInstrument,38
G2,G,StringInstrument,39
G3,G,StringInstrument,40
G2,G,StringInstrument,41
D4,D,StringInstrument,42
F4,F,StringInstrument,43
B3,B,StringInstrument,44
E4,E,StringInstrument,45
B3,B,StringInstrument,46
E3,E,StringInstrument,47
C3,C,StringInstrument,48
C2,C,StringInstrument,49
C5,C,StringInstrument,50
B4,B,StringInstrument,51
A4,A,StringInstrument,52
B4,B,StringInstrument,53
C5,C,StringInstrument,54
D5,D,StringInstrument,55
F4,F,StringInstrument,56
C5,C,StringInstrument,57
B4,B,StringInstrument,58
C5,C,StringInstrument,59
A4,A,StringInstrument,60
C2,C,StringInstrument,61
C3,C,StringInstrument,62
C5,C,StringInstrument,63
G4,G,StringInstrument,64
B4,B,StringInstrument,65
A4,A,StringInstrument,66
B4,B,StringInstrument,67
C5,C,StringInstrument,68
D5,D,StringInstrument,69
C5,C,StringInstrument,70
D3,D,StringInstrument,71
D2,D,StringInstrument,72
B4,B,StringInstrument,73
C5,C,StringInstrument,74
A4,A,StringInstrument,75
G4,G,StringInstrument,76
B3,B,StringInstrument,77
G3,G,StringInstrument,78
G2,G,StringInstrument,79
B2,B,StringInstrument,80
D4,D,StringInstrument,81
C4,C,StringInstrument,82
E4,E,StringInstrument,83
G4,G,StringInstrument,84
F4,F,StringInstrument,85
C4,C,StringInstrument,86
F3,F,StringInstrument,87
A3,A,StringInstrument,88
F4,F,StringInstrument,89
F4,F,StringInstrument,90
D4,D,StringInstrument,91
G3,G,StringInstrument,92
G4,G,StringInstrument,93
F3,F,StringInstrument,94
E4,E,StringInstrument,95
G4,G,StringInstrument,96
F4,F,StringInstrument,97
F3,F,StringInstrument,98
F4,F,StringInstrument,99
F2,F,StringInstrument,100
F4,F,StringInstrument,101
G2,G,StringInstrument,102
G3,G,StringInstrument,103
G2,G,StringInstrument,104
G1,G,StringInstrument,105
G2,G,StringInstrument,106
C5,C,StringInstrument,107
B4,B,StringInstrument,108
A4,A,StringInstrument,109
F4,F,StringInstrument,110
F1,F,StringInstrument,111
F2,F,StringInstrument,112
B4,B,StringInstrument,113
C5,C,StringInstrument,114
D5,D,StringInstrument,115
C5,C,StringInstrument,116
F4,F,StringInstrument,117
B4,B,StringInstrument,118
C5,C,StringInstrument,119
A4,A,StringInstrument,120
C5,C,StringInstrument,121
B4,B,StringInstrument,122
A4,A,StringInstrument,123
F4,F,StringInstrument,124
B4,B,StringInstrument,125
C5,C,StringInstrument,126
D5,D,StringInstrument,127
C5,C,StringInstrument,128
B4,B,StringInstrument,129
C5,C,StringInstrument,130
A4,A,StringInstrument,131
E4,E,StringInstrument,132
G4,G,StringInstrument,133
E4,E,StringInstrument,134
D4,D,StringInstrument,135
E3,E,StringInstrument,136
G4,G,StringInstrument,137
E3,E,StringInstrument,138
E4,E,StringInstrument,139
G4,G,StringInstrument,140
F4,F,StringInstrument,141
G3,G,StringInstrument,142
G2,G,StringInstrument,143
G4,G,StringInstrument,144
C3,C,StringInstrument,145
C2,C,StringInstrument,146
